Name;Link;Content;abstract;birthdate;birthplace_clean;birthplace;deathdate;deathplace_clean;deathplace;gender;birthCountry;birthcountry2
Adolfo_Couve;https://fr.wikipedia.org/wiki/Adolfo_Couve;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]Fils', ""d'Adolfo"", 'Couve', 'Braga', 'et', 'Clemencia', 'Rioseco', 'Fernández,', 'Adolfo', 'Couve', 'est', ""l'aîné"", 'de', 'trois', 'frères.', 'Né', 'à', 'Valparaíso', 'en', '1940,', 'il', 'passe', 'son', 'enfance', 'à', 'Llay', 'Llay', 'où', 'il', 'habite', ""jusqu'à"", ""l'âge"", 'de', 'huit', 'ans,', 'avant', 'de', ""s'installer"", 'avec', 'sa', 'famille', 'à', 'Santiago', 'de', 'Chile.', 'Il', 'achève', 'sa', 'scolarité', 'au', 'Colegio', 'San', 'Ignacio', 'en', '1958,', 'et', 'enterprend', 'ses', 'premières', 'études', 'artistiques', 'à', ""l'Escuela"", 'de', 'Bellas', 'Artes', 'de', ""l'Universidad"", 'de', 'Chile.', 'En', '1962,', 'il', 'obtient', 'une', 'bourse', 'pour', 'étudier', 'à', ""l'École"", 'des', 'Beaux', 'Arts', 'de', 'Paris', 'et,', ""l'année"", 'suivante,', 'poursuit', 'ses', 'études', ""à'Arts"", 'Student', 'League', 'à', 'New', 'York.', 'Il', 'a', 'été', 'marié', 'avec', 'Marta', 'Carrasco,', 'peintre', 'et', 'illustratrice', 'de', 'livres', 'pour', 'enfants.', 'Leur', 'fille,', 'Camila', 'Couve,', 'née', 'en', '1963,', 'fait', 'ses', 'débutes', 'dans', ""l'écriture"", 'en', '2018,', 'en', 'publiant', 'Estampas', 'de', 'niña', '(Alfaguara)[1].Il', 'passe', 'les', '12', 'dernières', 'années', 'de', 'sa', 'vie', 'à', 'Carthagène,', 'une', 'petite', 'ville', 'de', 'la', 'province', 'de', 'Saint-Antoine.Après', 'une', 'forte', 'dépression', 'il', 'se', 'suicide', 'en', '1998.<span']";Adolfo Couve Rioseco (Valparaíso, 28 de marzo de 1940 - Cartagena, 11 de marzo de 1998) fue un pintor y escritor chileno.;1940-3-28;Valparaíso;http://dbpedia.org/resource/Valparaíso;1998-03-11;Cartagena,_Chile;http://dbpedia.org/resource/Cartagena,_Chile;male;Chile;Chile
Jack_Goldstein;https://fr.wikipedia.org/wiki/Jack_Goldstein;[];"Jack Goldstein (* 27. September 1945 in Montreal, Kanada; ? 14. März 2003 in San Bernardino, Kalifornien) war ein amerikanischer Konzept- und Performancekünstler. Er lebte und arbeitete in Kalifornien und New York.";1945-9-27;Montreal;http://dbpedia.org/resource/Montreal;2003-03-14;San_Bernardino,_California;http://dbpedia.org/resource/San_Bernardino,_California;male;Canada;Canada
Paul_Markwitz;https://fr.wikipedia.org/wiki/Paul_Markwitz;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]Markwitz', 'suit', 'une', 'formation', 'pratique', 'et', 'artisanale', 'et', 'est', 'recommandé', 'dans', 'le', 'cinéma', 'comme', 'charpentier', 'talentueux.', 'À', 'la', 'fin', 'de', '1931,', 'il', 'commence', 'à', 'travailler', 'à', 'titre', 'mineur', 'pour', 'des', 'productions', 'cinématographiques,', 'même', 'à', 'Hollywood', 'au', 'début', '(The', 'Crowd', 'Roars,', 'Alias', 'the', 'Doctor).', 'En', '1934,', 'il', 'est', 'autorisé', 'à', 'participer', 'pour', 'la', 'première', 'fois', 'à', 'la', 'création', 'de', 'bâtiments', 'de', 'cinéma', 'en', 'tant', ""qu'assistant"", 'de', 'production', 'et', 'est', 'assigné', 'à', 'ses', 'collègues', 'Heinrich', 'Richter-Berlin', 'et', 'Hans', 'Jacoby.Les', 'premières', 'ouvres', 'de', 'Markwitz', 'sont', 'deux', 'productions', ""d'Erich"", 'Engels', 'avec', 'Karl', 'Valentin', 'et', 'Liesl', 'Karlstadt', 'dans', 'les', 'rôles', 'principaux.', 'Peu', 'de', 'temps', 'après', 'le', 'déclenchement', 'de', 'la', 'Seconde', 'Guerre', 'mondiale', 'en', '1939,', 'Markwitz', 'est', 'mobilisé.Après', 'sa', 'libération,', 'Paul', 'Markwitz', 'rentre', 'à', 'Berlin', 'en', '1948', 'et', 'reprend', 'son', 'travail', 'dans', 'le', 'cinéma.', 'Il', 'réalise', 'les', 'projets', 'de', 'collègues', 'importants', 'comme', 'Fritz', 'Maurischat,', 'Ernst', 'H.', 'Albrecht,', 'Emil', 'Hasler', 'et', 'Heinrich', 'Weidemann', '(de).', 'Son', 'domaine', ""d'activité"", 'sont', 'pour', 'la', 'plupart', 'des', 'films', 'de', 'divertissement', 'peu', 'importants,', 'en', 'particulier', 'des', 'comédies,', 'des', 'opérettes', 'et', 'des', 'revues', 'musicales,', 'mais', 'aussi', 'quelques', 'films', 'plus', 'ambitieux', 'et', 'dramatiques', 'tels', 'que', 'la', 'production', 'américaine', 'tournée', 'dans', 'le', 'sud', 'de', ""l'Allemagne"", 'Le', 'Diable', 'fait', 'le', 'troisième', '(en)', 'avec', 'Gene', 'Kelly', 'et', 'le', 'récit', 'des', 'événements', 'entourant', 'la', 'tentative', ""d'assassinat"", 'raté', 'de', 'Hitler', 'en', '1944', ""C'est"", 'arrivé', 'le', '20', 'Juillet.', 'Markwitz', 'travaille', 'pour', 'une', 'grande', 'variété', 'de', 'sociétés', 'de', 'production.', 'À', 'la', 'fin,', 'à', 'partir', 'de', '1957,', 'il', ""s'agit"", 'presque', 'exclusivement', 'pour', 'CCC-Film.', 'Ses', 'dernières', 'ouvres', 'sont', 'des', 'productions', 'commandées', 'pour', 'CCC-Television.À', ""l'âge"", 'de', '59', 'ans,', 'Paul', 'Markwitz', 'meurt', 'alors', ""qu'il"", 'est', 'chômeur,', 'il', 'se', 'jette', 'dans', 'un', 'canal', 'de', 'Berlin', 'dans', ""l'intention"", 'de', 'se', 'suicider', 'et', 'se', 'noie.<span']";"Paul E. Markwitz (* 16. Juli 1908 in Berlin; ? 19. März 1968 ebenda) war ein deutscher Filmarchitekt.";1908-7-16;Berlin;http://dbpedia.org/resource/Berlin;1968-03-19;Berlin;http://dbpedia.org/resource/Berlin;male;Germany;Germany
Achille_Zavatta;https://fr.wikipedia.org/wiki/Achille_Zavatta;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]', 'Achille', 'Zavatta', 'en', 'représentation', 'à', 'Quimperlé', '(Finistère)', 'en', 'février', '1980.Alfonso,', 'dit', 'Achille', 'Zavatta,', 'est', 'né', 'à', 'La', 'Goulette', 'en', 'Tunisie', ';', 'il', 'est', 'le', 'fils', 'de', 'Federico', 'Zavatta.', 'Sa', 'famille', 'appartient', 'au', 'milieu', 'du', 'cirque.Après', 'avoir', 'débuté', 'en', '1918', 'à', ""l'âge"", 'de', 'trois', 'ans', 'dans', 'le', 'cirque', 'familial,', 'il', 'créa', 'avec', 'sa', 'sour', 'et', ""l'un"", 'de', 'ses', 'frères', 'un', 'numéro', 'de', 'jockeys,', 'le', 'Trio', 'Zavatta.', 'Avec', 'son', 'numéro', 'de', 'clown', 'Auguste', 'et', 'sa', 'participation', 'dans', 'diverses', 'pantomimes', '(La', 'Perle', 'du', 'Bengale,', 'mise', 'en', 'scène', 'par', 'Géo', 'Sandry),', 'à', 'partir', 'de', '1936,', ""c'est"", 'au', 'Cirque', ""d'Hiver-Bouglione"", 'dans', 'les', 'années', '1930', ""qu'il"", 'accède', 'à', 'la', 'célébrité.', 'Son', 'personnage', ""d'Auguste"", 'est', 'sa', 'marque', 'de', 'fabrique', 'nez', 'rouge,', 'chapeau', 'et', 'fleurs', 'arrosantes.', 'En', 'duo', 'avec', 'ses', 'frères', 'Michel', 'ou', 'Rolph,', 'puis', 'avec', 'le', 'clown', 'blanc', 'Alex,', 'enfin', 'se', 'contentant', 'de', 'partenaires', 'sans', 'maquillage,', 'il', 'fut,', 'pour', 'plusieurs', 'générations,', ""l'un"", 'des', 'clowns', 'les', 'plus', 'célèbres,', 'au', 'même', 'titre', 'que', 'Grock', 'ou', 'Oleg', 'Popov[2].', 'Il', 'est', ""l'auteur"", 'de', '30', 'ans', 'de', 'Cirque', '(1954)', 'et', 'Viva', 'Zavatta', '(1976).De', '1947', 'à', '1951,', 'il', 'dirige', 'un', 'grand', 'chapiteau,', 'le', 'Bostok', 'Circus', 'puis', 'Zoo', 'Circus.En', '1953,', 'Achille', 'Zavatta', 'tourne', 'sous', ""l'enseigne"", 'du', 'Super', 'Circus', 'et', 'avec', 'la', 'participation', 'au', 'spectacle', 'de', 'Tino', 'Rossi.De', '1959', 'à', '1966,', 'il', 'apparaît', 'dans', ""l'émission"", 'télévisée', 'La', 'Piste', 'aux', 'étoiles', ';', 'on', ""l'y"", 'verra', 'plus', 'de', 'deux', 'cents', 'fois.En', '1960,', 'il', 'est', 'la', 'vedette', 'du', 'Cirque', 'français', 'envoyé', 'en', 'tournée', 'en', 'Russie', 'par', 'le', 'producteur', 'Lumbroso.En', '1967,', 'il', 'est', 'la', 'vedette', 'du', 'cirque', 'Grüss-Jeannet', '(Alexis', 'Grüss', 'Sr,', 'André', 'Grüss', 'et', 'Lucien', 'Jeannet)', 'qui', 'prend', 'cette', 'année-là', 'le', 'nom', 'de', 'Circorama', 'Achille', ""Zavatta.L'année"", 'suivante,', 'encore', 'avec', 'la', 'logistique', 'des', 'Grüss-Jeannet,', 'il', 'continue', 'à', 'prêter', 'son', 'talent', 'au', 'nouveau', 'programme', 'sous', ""l'enseigne"", 'de', 'Jean', 'Richard.En', '1972,', 'il', 'effectue', 'des', 'tournées', 'en', 'France', 'avec', 'le', 'cirque', 'Pinder-Jean', 'Richard.En', '1978,', 'il', 'crée', 'son', 'propre', 'cirque', 'traditionnel,', 'le', 'Cirque', 'Zavatta,', 'mais', 'doit', 'abandonner', 'la', 'piste', 'en', '1985.', 'Ses', 'enfants', 'reprendront', 'la', 'suite', '(Lydia', 'monte', 'un', 'cirque', 'à', 'son', 'nom,', 'ses', 'deux', 'frères', 'créent', 'le', 'cirque', 'Zavatta', 'Fils', 'et', 'Franck', 'exploitera', 'brièvement', 'le', 'cirque', 'Franck', 'Zavatta).Viva', 'Zavatta!', 'Viva', 'Mexico!', 'est', 'le', 'dernier', 'grand', 'spectacle', 'présenté', 'à', 'Paris', 'en', 'décembre', '1990.', 'Tombe', ""d'Achille"", 'Zavatta', 'au', 'columbarium', 'du', 'cimetière', 'du', 'Père-Lachaise', '(division', '87).Achille', 'Zavatta', 'fait', 'faillite', 'en', '1991.', 'Il', 'se', 'résigne', 'en', '1992', 'à', 'vendre', 'son', 'établissement', 'à', 'Bernard', 'Mazelier,', 'un', 'agent', 'immobilier', 'de', 'Cahors,', 'tandis', 'que', 'la', 'majeure', 'partie', 'des', 'convois', 'est', 'rachetée', 'par', 'Gilbert', 'Edelstein,', 'PDG', 'du', 'cirque', 'Pinder.', 'La', 'caisse', 'et', 'la', 'semi-remorque', 'cuisine', 'du', 'cirque', 'Zavatta', 'iront', 'ainsi', 'rejoindre', 'les', 'convois', 'du', 'cirque', 'Pinder,', 'le', 'chapiteau', 'sera', 'remisé', 'à', 'Monnaie', 'où', 'Pinder', 'a', 'alors', 'ses', 'quartiers', ""d'hiver.Aujourd'hui,"", 'de', 'nombreux', 'cirques', 'tournent', 'sous', ""l'enseigne"", 'Zavatta,', 'nom', ""qu'ils"", 'louent', 'à', 'des', 'membres', 'de', 'la', 'famille.', 'Seul', 'Stéphane,', 'petit-fils', ""d'Achille,"", 'est', 'encore', 'à', 'la', 'tête', ""d'un"", 'cirque', 'le', 'cirque', 'Maximum.Achille', 'Zavatta', 'était', 'franc-maçon,', 'membre', 'de', 'la', 'Grande', 'Loge', 'de', 'France,', 'initié', 'le', '13', 'avril', '1962', 'dans', 'la', 'loge', '«', 'La', 'Ruche', 'd'Orient', '».', 'En', 'tant', 'que', 'franc-maçon,', 'il', 'a', 'aidé', 'des', 'artistes', 'de', 'cirque', 'en', 'retraite,', 'et', 'lors', 'de', 'ses', 'obsèques', 'il', 'eut', 'droit', 'à', 'un', 'enterrement', 'maçonnique.', 'Il', 'était', 'aussi', 'officier', 'de', ""l'ordre"", 'de', 'la', 'Gigouillette.[réf.', 'nécessaire]Il', 'a', 'également', 'tourné', 'dans', 'quelques', 'films,', 'notamment', 'La', 'Jument', 'Verte', '(1959)', 'de', 'Claude', 'Autant-Lara,', 'La', 'Malédiction', 'de', 'Belphégor', '(1967)', 'de', 'Georges', 'Combret,', 'Visa', 'pour', ""l'enfer"", '(1959),', 'Un', 'déjeuner', ""d'amour"", '(1953),', 'Du', 'sang', 'sous', 'le', 'chapiteau', '(1957),', 'La', 'Grande', 'Mafia', '(1971),', 'Le', 'Feu', 'de', 'Dieu', '(1966),', 'Rien', 'ne', 'va', 'plus', '(1964).', 'Il', 'joua', 'aussi', 'en', '1961', 'dans', 'le', 'feuilleton', 'télévisé', 'Le', 'Trésor', 'des', '13', 'maisons.', 'Il', 'participa', 'également', 'à', 'des', 'émissions', 'radiodiffusées', '(notamment', 'Les', 'Beaux', 'Jeudis).Ne', 'pouvant', 'plus', 'supporter', 'la', 'vie', 'en', 'dialyse,', 'il', 'se', 'suicide', 'le', '16', 'novembre', '1993', 'à', 'Ouzouer-des-Champs', 'près', 'de', 'Montargis', '(Loiret)[3].', 'Il', 'repose', 'au', 'cimetière', 'du', 'Père-Lachaise', 'à', 'Paris', '(columbarium,', 'case', '1918)[4].<span']";"Achille Zavatta (May 6, 1915 - November 16, 1993) was a French clown, artist and circus operator. Achille Zavatta was born in La Goulette, Tunisia, the son of Federico Zavatta, a circus owner. He started performing in his family's circus show at the age of three, forming with his brothers Michel and Rolph, the Zavatta Trio. He was the interval act at the 1962 Eurovision Song Contest in Luxemburg. To this day the Zavatta Circus tours France and surrounding countries, these performances include live tiger acts, which means the circus cannot tour Britain under the Animal Welfare Act. The circus is rated as a top show in France. He became famous for his skills as a pantomime. He committed suicide in 1993 in Ouzouer des Champs, Loiret and was interred in the Père Lachaise Cemetery in Paris.";1915-5-6;La_Goulette;http://dbpedia.org/resource/La_Goulette;1993-11-16;Ouzouer-des-Champs;http://dbpedia.org/resource/Ouzouer-des-Champs;male;Tunisia;Tunisia
Jean-François_Adam;https://fr.wikipedia.org/wiki/Jean-François_Adam;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]Il', 'a', 'été', ""l'assistant"", 'de', 'François', 'Truffaut', 'et', 'de', 'Jean-Pierre', 'Melville.', 'Il', 'est', 'connu', 'pour', 'son', 'petit', 'rôle', ""d'amoureux"", 'de', 'Colette', 'dans', 'le', 'cycle', 'Antoine', 'Doinel', 'et,', 'surtout,', 'pour', 'celui', 'du', 'professeur', 'de', 'philosophie', 'dans', 'Passe', 'ton', 'bac', ""d'abord"", 'de', 'Maurice', 'Pialat.', 'Jean-François', 'Adam', 'a', 'écrit', 'et', 'réalisé', 'trois', 'films', 'personnels', 'et', 'exigeants', 'qui,', ""s'ils"", ""n'ont"", 'pas', 'rencontré', 'un', 'succès', 'public,', 'ont', 'reçu', 'des', 'critiques', 'positives', 'et', 'son', 'ouvre', 'est', ""aujourd'hui"", 'encore', 'régulièrement', 'projetée', 'dans', 'les', 'cinémathèques.Il', 'a', 'vécu', 'avec', 'Brigitte', 'Fossey', ';', 'de', 'leur', 'union', 'est', 'née', ""l'actrice"", 'Marie', 'Adam.Il', 'met', 'fin', 'à', 'ses', 'jours', ""d'un"", 'coup', 'de', 'carabine[2]', 'le', '14', 'octobre', '1980', 'et', 'est', 'inhumé', 'au', 'cimetière', 'de', 'Seine-Port[3]', '(Seine-et-Marne).<span']";Jean-François AdamFichier:Image manquante.jpg Jean-François Adam, nom de scène de Jean François Albert Hermant Abraham-Adam, est un réalisateur, scénariste, acteur et metteur en scène français né le 14 février 1938 à Paris (France) et mort (suicide) le 14 octobre 1980 (à 42 ans) à Paris.;1938-2-14;France;http://dbpedia.org/resource/France;1980-10-14;France;http://dbpedia.org/resource/France;male;;
Keith_Andes;https://fr.wikipedia.org/wiki/Keith_Andes;[];"Keith Andes (eigentlich John Charles Andes; * 12. Juli 1920 in Ocean City, New Jersey; ? 11. November 2005 in Santa Clarita, Los Angeles County, Kalifornien) war ein US-amerikanischer Schauspieler. Keith Andes begann seine Karriere im Showgeschäft im Alter von zwölf Jahren beim Radio. Er war als Sänger und Sprecher bis zur High-School-Zeit aktiv. Während des Zweiten Weltkrieges diente er bei der United States Air Force und trat 1943 am Broadway in der Show ""Winged Victory"" auf. Hier wurde er von Darryl F. Zanuck gesehen und bekam im folgenden Jahr eine kleine Rolle in der Filmfassung der Show. Nach dem Krieg ging er nach Hollywood. Eine erste größere Rolle bekam er 1947 im Film Die Farmerstochter (The Farmer's Daughter) als Bruder von Loretta Young, Lex Barker und James Arness. In den 1950er und 1960er Jahren war er Hauptdarsteller in diversen B-Filmen. Hier war er vor allem wegen seines guten Aussehens als ähnlicher Typ wie George Nader, Guy Madison und Jeffrey Hunter gefragt. Für seine Rolle in ""The Chocolate Soldier"" gewann er 1947 den Theatre World Award. Auf der Bühne trat er oftmals in Musicals auf, jedoch hatte er in Filmen immer nur Sprechrollen. Neben der Arbeit für Theater und Film trat er auch in diversen Fernsehproduktionen auf. Die letzten Jahre seines Lebens waren von schwerer Krankheit (unter anderem Blasenkrebs) gezeichnet. 2005 beging er im Alter von 85 Jahren Suizid.";1920-07-12;New_Jersey;http://dbpedia.org/resource/New_Jersey;2005-11-11;Santa_Clarita,_California;http://dbpedia.org/resource/Santa_Clarita,_California;male;United_States;United_States
Pedro_Armendáriz;https://fr.wikipedia.org/wiki/Pedro_Armendáriz;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]Pedro', 'Armendáriz', 'fit', 'ses', 'études', 'à', ""l'école"", 'de', 'San', 'Antonio', 'au', 'Texas', 'puis', 'à', ""l'Institut"", 'Polytechnique', 'de', 'Californie.', 'Il', 'commença', 'sa', 'carrière', 'de', 'comédien', 'au', 'théâtre', 'à', 'Mexico', 'au', 'début', 'des', 'années', '1930.', 'Il', 'tourna', 'son', 'premier', 'film', 'en', '1935.', 'Personnalité', 'forte', 'et', 'haute', 'en', 'couleur,', 'il', 'contribua', 'largement', 'à', 'la', 'renommée', 'du', 'cinéma', 'mexicain.', 'Sa', 'carrière', ""s'internationalisa"", 'après', 'la', 'Seconde', 'Guerre', 'mondiale', 'avec', 'des', 'films', 'aux', 'États-Unis,', 'en', 'France,', 'en', 'Italie.Atteint', ""d'un"", 'cancer,', 'Pedro', 'Armendáriz', 'se', 'suicida', 'le', '18', 'juin', '1963', 'dans', 'sa', 'chambre', ""d'hôpital"", 'à', 'Los', 'Angeles', 'juste', 'après', 'avoir', 'tourné', 'ses', 'scènes', 'dans', 'Bons', 'baisers', 'de', 'Russie.Son', 'fils', 'Pedro', 'Armendáriz', 'Jr.', '(1940-2011)', 'est', 'aussi', 'acteur.', 'Il', 'est', 'apparu', 'dans', 'le', 'James', 'Bond', 'Permis', 'de', 'tuer', 'en', '1989,', 'vingt-six', 'ans', 'après', 'le', 'rôle', 'tenu', 'par', 'son', 'père', 'dans', 'Bons', 'baisers', 'de', 'Russie.<span']";Pedro Gregorio Armendáriz Hastings (Ciudad de México, 9 de mayo de 1912-Los Ángeles, California, 18 de junio de 1963) fue un actor de la llamada Época de oro del cine mexicano que también participó en películas de Hollywood y de Europa. Fue padre del también actor Pedro Armendáriz Jr.;1912-05-09;Mexico_City;http://dbpedia.org/resource/Mexico_City;1963-06-18;California;http://dbpedia.org/resource/California;male;Mexico;Mexico
Todd_Armstrong;https://fr.wikipedia.org/wiki/Todd_Armstrong;[];"Todd Armstrong (* 25. Juli 1937 in Missouri, USA; ? 17. November 1992 in Butte County, Kalifornien, USA; eigentlich John Harris Armstrong) war ein US-amerikanischer Schauspieler.";1937-07-25;Missouri;http://dbpedia.org/resource/Missouri;1992-11-17;California;http://dbpedia.org/resource/California;male;United_States;United_States
Boris_Barnet;https://fr.wikipedia.org/wiki/Boris_Barnet;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]Boris', 'Barnet', 'est', 'né', 'le', '18', 'juin', '1902,', 'à', 'Moscou.', 'Son', 'grand-père', 'paternel', 'avait', 'émigré', ""d'Angleterre"", 'en', 'Russie', 'au', 'début', 'du', 'XIXe', 'siècle.', 'Étudiant', 'à', ""l'École"", 'de', 'peinture,', 'de', 'sculpture', 'et', ""d'architecture"", 'de', 'Moscou,', 'il', 'est', 'ensuite', 'militaire', 'puis', 'boxeur', 'dans', 'les', 'années', '1920[1].', 'Étudiant', 'à', ""l'école"", 'du', 'cinéma', 'de', 'Moscou', 'où', 'il', 'a', 'comme', 'maître,', 'entre', 'autres,', 'Lev', 'Koulechov,', 'il', 'commence', 'sa', 'carrière', 'comme', 'acteur', 'en', '1924,', 'en', 'interprétant', 'un', 'des', 'rôles', 'principaux,', 'celui', 'du', 'cow-boy,', 'dans', 'Les', 'Aventures', 'extraordinaires', 'de', 'Mr', 'West', 'au', 'pays', 'des', 'bolcheviks', 'de', 'Lev', 'Koulechov.', 'Il', 'joue', 'aussi', 'pour', 'Vsevolod', 'Poudovkine,', 'dans', 'La', 'Fièvre', 'des', 'échecs', '(1925).', 'En', '1926,', 'il', 'est', 'coscénariste', 'et', 'coréalisateur,', 'avec', 'Fedor', 'Ozep,', 'de', 'Miss', 'Mend[2].Il', 'signe', 'en', '1927', 'ses', 'premiers', 'films,', 'dont', 'La', 'Jeune', 'Fille', 'au', 'carton', 'à', 'chapeau[1],[3].', 'Ses', 'films', 'parlants', 'les', 'plus', 'connus', 'sont', 'Okraïna', '(1933)', 'et', 'Au', 'bord', 'de', 'la', 'mer', 'bleue', '(1936).', 'Sa', 'carrière,', 'riche', ""d'une"", 'vingtaine', 'de', 'films,', 'se', 'poursuit', 'jusque', 'dans', 'les', 'années', '1960[1],[3],[2].', 'Les', 'réalisations', ""d'après-guerre"", 'sont', 'cependant', 'moins', 'inspirées', ""qu'à"", 'ses', 'débuts,', 'à', ""l'exception"", 'du', 'film', 'Le', 'Lutteur', 'et', 'le', 'clown,', 'sorti', 'en', '1958[2].', 'Il', 'démissionne', 'de', 'Mosfilm', 'en', '1963', 'et', 'se', 'voit', 'engagé', 'par', 'Riga', 'Film', 'Studio', 'où', 'il', 'projette', 'à', 'tourner', 'un', 'drame', 'historique', 'Complot', 'des', 'ambassadeurs.', 'Il', 'meurt', 'par', 'suicide,', 'dans', 'la', 'chambre', ""d'un"", 'hôtel', 'de', 'Riga,', 'le', '8', 'janvier', '1965[1],[2].<span']";"Boris Wassiljewitsch Barnet (russisch ????? ?????????? ??????, wiss. Transliteration Boris Vasiljevic Barnet; * 5. Junijul./ 18. Juni 1902greg. in Moskau; ? 8. Januar 1965 in Riga, Lettische SSR) war ein sowjetischer Filmregisseur, Schauspieler und Boxer.";1902-6-18;Moscow;http://dbpedia.org/resource/Moscow;1965-01-08;Riga;http://dbpedia.org/resource/Riga;male;Russia;Russia
Scotty_Beckett;https://fr.wikipedia.org/wiki/Scotty_Beckett;"['id=""Biographie"">Biographie[modifier', '|', 'modifier', 'le', 'code]Cette', 'section', 'est', 'vide,', 'insuffisamment', 'détaillée', 'ou', 'incomplète.', 'Votre', 'aide', 'est', 'la', 'bienvenue', '!', 'Comment', 'faire', '?Il', 'joua,', 'entre', 'autres,', 'aux', 'côtés', 'de', 'Spencer', 'Tracy,', 'Fredric', 'March,', 'Errol', 'Flynn,', 'Greta', 'Garbo,', 'Norma', 'Shearer,', 'Cary', 'Grant...', 'Mais,', 'il', 'sombre', 'dans', ""l'alcoolisme,"", ""l'abus"", 'de', 'drogues', 'et', 'est', 'incarcéré', 'à', 'diverses', 'reprises.Il', 'meurt', 'à', '38', 'ans', ""d'une"", 'overdose', 'de', 'barbituriques[1].<span']";"Scott Hastings ""Scotty"" Beckett (October 4, 1929 - May 10, 1968) was an American actor. Beckett began his career as a child actor in the Our Gang shorts and later co-starred on Rocky Jones, Space Ranger.";1929-10-4;California;http://dbpedia.org/resource/California;1968-05-10;California;http://dbpedia.org/resource/California;male;United_States;United_States
