Name;Link
Jack_Abbott_(author);https://en.wikipedia.org/wiki/Jack_Abbott_(author)
Abdülaziz;https://en.wikipedia.org/wiki/Abdülaziz
Abu_Nidal;https://en.wikipedia.org/wiki/Abu_Nidal
Chris_Acland;https://en.wikipedia.org/wiki/Chris_Acland
Fort_Acuña;https://en.wikipedia.org/wiki/Fort_Acuña
Hatazō_Adachi;https://en.wikipedia.org/wiki/Hatazō_Adachi
Ken_Adachi;https://en.wikipedia.org/wiki/Ken_Adachi
Jean-François_Adam;https://en.wikipedia.org/wiki/Jean-François_Adam
Louis_Adamic;https://en.wikipedia.org/wiki/Louis_Adamic
Arthur_Adamov;https://en.wikipedia.org/wiki/Arthur_Adamov
Francis_Adams_(writer);https://en.wikipedia.org/wiki/Francis_Adams_(writer)
George_Washington_Adams;https://en.wikipedia.org/wiki/George_Washington_Adams
Robert_Adams_Jr.;https://en.wikipedia.org/wiki/Robert_Adams_Jr.
Dave_Adamson_(Australian_footballer);https://en.wikipedia.org/wiki/Dave_Adamson_(Australian_footballer)
Stuart_Adamson;https://en.wikipedia.org/wiki/Stuart_Adamson
Thomas_Addison;https://en.wikipedia.org/wiki/Thomas_Addison
Jacques_d'Adelswärd-Fersen;https://en.wikipedia.org/wiki/Jacques_d'Adelswärd-Fersen
Clay_Adler;https://en.wikipedia.org/wiki/Clay_Adler
Aelius_Antipater;https://en.wikipedia.org/wiki/Aelius_Antipater
Mamercus_Aemilius_Scaurus;https://en.wikipedia.org/wiki/Mamercus_Aemilius_Scaurus
Ahitophel;https://en.wikipedia.org/wiki/Ahitophel
Akamatsu_Mitsusuke;https://en.wikipedia.org/wiki/Akamatsu_Mitsusuke
Akechi_Mitsuharu;https://en.wikipedia.org/wiki/Akechi_Mitsuharu
Akechi_Mitsuyoshi;https://en.wikipedia.org/wiki/Akechi_Mitsuyoshi
Stephen_Akinmurele;https://en.wikipedia.org/wiki/Stephen_Akinmurele
Alcetas;https://en.wikipedia.org/wiki/Alcetas
Alexander_(satrap);https://en.wikipedia.org/wiki/Alexander_(satrap)
Joy_Ali;https://en.wikipedia.org/wiki/Joy_Ali
Aris_T._Allen;https://en.wikipedia.org/wiki/Aris_T._Allen
Chet_Allen_(actor,_born_1939);https://en.wikipedia.org/wiki/Chet_Allen_(actor,_born_1939)
Robert_S._Allen;https://en.wikipedia.org/wiki/Robert_S._Allen
Tom_Allin;https://en.wikipedia.org/wiki/Tom_Allin
Thomas_Alsager;https://en.wikipedia.org/wiki/Thomas_Alsager
Max_Alsberg;https://en.wikipedia.org/wiki/Max_Alsberg
Suicide_of_Jason_Altom;https://en.wikipedia.org/wiki/Suicide_of_Jason_Altom
Amago_Katsuhisa;https://en.wikipedia.org/wiki/Amago_Katsuhisa
Amago_Okihisa;https://en.wikipedia.org/wiki/Amago_Okihisa
Jean_Améry;https://en.wikipedia.org/wiki/Jean_Améry
Amphicrates_of_Athens;https://en.wikipedia.org/wiki/Amphicrates_of_Athens
Korechika_Anami;https://en.wikipedia.org/wiki/Korechika_Anami
Adna_Anderson;https://en.wikipedia.org/wiki/Adna_Anderson
Forrest_H._Anderson;https://en.wikipedia.org/wiki/Forrest_H._Anderson
Raymond_Andrews;https://en.wikipedia.org/wiki/Raymond_Andrews
Martynas_Andriukaitis;https://en.wikipedia.org/wiki/Martynas_Andriukaitis
Andromachus_(cavalry_general);https://en.wikipedia.org/wiki/Andromachus_(cavalry_general)
John_Angelos_(protostrator);https://en.wikipedia.org/wiki/John_Angelos_(protostrator)
Dimitrie_Anghel;https://en.wikipedia.org/wiki/Dimitrie_Anghel
Thomas_Annan;https://en.wikipedia.org/wiki/Thomas_Annan
Lucius_Annius_Vinicianus;https://en.wikipedia.org/wiki/Lucius_Annius_Vinicianus
Lucius_Annius_Vinicianus_(son-in-law_of_Cn._Domitius_Corbulo);https://en.wikipedia.org/wiki/Lucius_Annius_Vinicianus_(son-in-law_of_Cn._Domitius_Corbulo)
Quintus_Antistius_Labeo;https://en.wikipedia.org/wiki/Quintus_Antistius_Labeo
Antonio_D'Antoni;https://en.wikipedia.org/wiki/Antonio_D'Antoni
Iullus_Antonius;https://en.wikipedia.org/wiki/Iullus_Antonius
Mark_Antony;https://en.wikipedia.org/wiki/Mark_Antony
Hubert_Aquin;https://en.wikipedia.org/wiki/Hubert_Aquin
Yukio_Araki;https://en.wikipedia.org/wiki/Yukio_Araki
Reinaldo_Arenas;https://en.wikipedia.org/wiki/Reinaldo_Arenas
Zohar_Argov;https://en.wikipedia.org/wiki/Zohar_Argov
José_María_Arguedas;https://en.wikipedia.org/wiki/José_María_Arguedas
Alexis_Argüello;https://en.wikipedia.org/wiki/Alexis_Argüello
Edwin_Howard_Armstrong;https://en.wikipedia.org/wiki/Edwin_Howard_Armstrong
Frank_B._Arnold;https://en.wikipedia.org/wiki/Frank_B._Arnold
Lucius_Arruntius_Camillus_Scribonianus;https://en.wikipedia.org/wiki/Lucius_Arruntius_Camillus_Scribonianus
Lucius_Arruntius_the_Younger;https://en.wikipedia.org/wiki/Lucius_Arruntius_the_Younger
Asakura_Yoshikage;https://en.wikipedia.org/wiki/Asakura_Yoshikage
Richard_Asher;https://en.wikipedia.org/wiki/Richard_Asher
Nikolas_Asimos;https://en.wikipedia.org/wiki/Nikolas_Asimos
Arno_Assmann;https://en.wikipedia.org/wiki/Arno_Assmann
John_David_Roy_Atchison;https://en.wikipedia.org/wiki/John_David_Roy_Atchison
William_Atchison;https://en.wikipedia.org/wiki/William_Atchison
Mohamed_Atta;https://en.wikipedia.org/wiki/Mohamed_Atta
Attik;https://en.wikipedia.org/wiki/Attik
Doug_Ault;https://en.wikipedia.org/wiki/Doug_Ault
Hans_A._Aune;https://en.wikipedia.org/wiki/Hans_A._Aune
Pekka-Eric_Auvinen;https://en.wikipedia.org/wiki/Pekka-Eric_Auvinen
Charles_Avery;https://en.wikipedia.org/wiki/Charles_Avery
Coleman_W._Avery;https://en.wikipedia.org/wiki/Coleman_W._Avery
Avicii;https://en.wikipedia.org/wiki/Avicii
Mike_Awesome;https://en.wikipedia.org/wiki/Mike_Awesome
Zo_d'Axa;https://en.wikipedia.org/wiki/Zo_d'Axa
Albert_Ayler;https://en.wikipedia.org/wiki/Albert_Ayler
Georg_Bachmayer;https://en.wikipedia.org/wiki/Georg_Bachmayer
Erich_Bärenfänger;https://en.wikipedia.org/wiki/Erich_Bärenfänger
Abu_Bakr_al-Baghdadi;https://en.wikipedia.org/wiki/Abu_Bakr_al-Baghdadi
Bai_Qi;https://en.wikipedia.org/wiki/Bai_Qi
Harry_Bailey;https://en.wikipedia.org/wiki/Harry_Bailey
James_Robert_Baker;https://en.wikipedia.org/wiki/James_Robert_Baker
Lucian_Bălan;https://en.wikipedia.org/wiki/Lucian_Bălan
Fred_Ball_(footballer);https://en.wikipedia.org/wiki/Fred_Ball_(footballer)
Albert_Ballin;https://en.wikipedia.org/wiki/Albert_Ballin
Eugène_Balme;https://en.wikipedia.org/wiki/Eugène_Balme
Lou_Bandy;https://en.wikipedia.org/wiki/Lou_Bandy
Bantcho_Bantchevsky;https://en.wikipedia.org/wiki/Bantcho_Bantchevsky
Martin_Barbarič;https://en.wikipedia.org/wiki/Martin_Barbarič
Fred_Barnes_(performer);https://en.wikipedia.org/wiki/Fred_Barnes_(performer)
Boris_Barnet;https://en.wikipedia.org/wiki/Boris_Barnet
William_Vincent_Barré;https://en.wikipedia.org/wiki/William_Vincent_Barré
Paul_C._Barth;https://en.wikipedia.org/wiki/Paul_C._Barth
Mark_O._Barton;https://en.wikipedia.org/wiki/Mark_O._Barton
Alexander_Bashlachev;https://en.wikipedia.org/wiki/Alexander_Bashlachev
Stanley_Bate;https://en.wikipedia.org/wiki/Stanley_Bate
James_Larratt_Battersby;https://en.wikipedia.org/wiki/James_Larratt_Battersby
Thomas_McKee_Bayne;https://en.wikipedia.org/wiki/Thomas_McKee_Bayne
Maxim_Bazylev;https://en.wikipedia.org/wiki/Maxim_Bazylev
Rex_Beach;https://en.wikipedia.org/wiki/Rex_Beach
Thomas_Beach_(poet);https://en.wikipedia.org/wiki/Thomas_Beach_(poet)
Ludwig_Beck;https://en.wikipedia.org/wiki/Ludwig_Beck
Charles_Bedaux;https://en.wikipedia.org/wiki/Charles_Bedaux
Thomas_Lovell_Beddoes;https://en.wikipedia.org/wiki/Thomas_Lovell_Beddoes
David_Begelman;https://en.wikipedia.org/wiki/David_Begelman
Scott_Paul_Beierle;https://en.wikipedia.org/wiki/Scott_Paul_Beierle
Jovan_Belcher;https://en.wikipedia.org/wiki/Jovan_Belcher
Daubridgecourt_Belchier;https://en.wikipedia.org/wiki/Daubridgecourt_Belchier
Charles_Belden;https://en.wikipedia.org/wiki/Charles_Belden
Suicide_of_Jadin_Bell;https://en.wikipedia.org/wiki/Suicide_of_Jadin_Bell
Peter_Bellamy;https://en.wikipedia.org/wiki/Peter_Bellamy
Malik_Bendjelloul;https://en.wikipedia.org/wiki/Malik_Bendjelloul
Ota_Benga;https://en.wikipedia.org/wiki/Ota_Benga
Walter_Benjamin;https://en.wikipedia.org/wiki/Walter_Benjamin
Chester_Bennington;https://en.wikipedia.org/wiki/Chester_Bennington
Chris_Benoit;https://en.wikipedia.org/wiki/Chris_Benoit
Chris_Benoit_double-murder_and_suicide;https://en.wikipedia.org/wiki/Chris_Benoit_double-murder_and_suicide
Julius_S._Berg;https://en.wikipedia.org/wiki/Julius_S._Berg
Marty_Bergen_(baseball);https://en.wikipedia.org/wiki/Marty_Bergen_(baseball)
Ernst_Bergmann_(philosopher);https://en.wikipedia.org/wiki/Ernst_Bergmann_(philosopher)
Nathaniel_Berhow;https://en.wikipedia.org/wiki/Nathaniel_Berhow
Alexander_Berkman;https://en.wikipedia.org/wiki/Alexander_Berkman
David_Berman_(musician);https://en.wikipedia.org/wiki/David_Berman_(musician)
Paul_Bern;https://en.wikipedia.org/wiki/Paul_Bern
Michel_Bernanos;https://en.wikipedia.org/wiki/Michel_Bernanos
Mike_Bernardo;https://en.wikipedia.org/wiki/Mike_Bernardo
Michel_Bernholc;https://en.wikipedia.org/wiki/Michel_Bernholc
"Steven_""Jesse""_Bernstein";"https://en.wikipedia.org/wiki/Steven_""Jesse""_Bernstein"
Ricky_Berry;https://en.wikipedia.org/wiki/Ricky_Berry
Larry_Bethea;https://en.wikipedia.org/wiki/Larry_Bethea
Bruno_Bettelheim;https://en.wikipedia.org/wiki/Bruno_Bettelheim
Ward_Beysen;https://en.wikipedia.org/wiki/Ward_Beysen
H._S._Bhabra;https://en.wikipedia.org/wiki/H._S._Bhabra
Francesco_Bianchi_(composer);https://en.wikipedia.org/wiki/Francesco_Bianchi_(composer)
Charles_A._Binder;https://en.wikipedia.org/wiki/Charles_A._Binder
Bob_Birch;https://en.wikipedia.org/wiki/Bob_Birch
Harry_Gore_Bishop;https://en.wikipedia.org/wiki/Harry_Gore_Bishop
Nicholas_L._Bissell_Jr.;https://en.wikipedia.org/wiki/Nicholas_L._Bissell_Jr.
James_Blair_(South_Carolina_politician);https://en.wikipedia.org/wiki/James_Blair_(South_Carolina_politician)
Samuel_Laman_Blanchard;https://en.wikipedia.org/wiki/Samuel_Laman_Blanchard
Gregory_Blaxland;https://en.wikipedia.org/wiki/Gregory_Blaxland
Leszek_Błażyński;https://en.wikipedia.org/wiki/Leszek_Błażyński
Joseph_Wheeler_Bloodgood;https://en.wikipedia.org/wiki/Joseph_Wheeler_Bloodgood
Marshall_Bloom;https://en.wikipedia.org/wiki/Marshall_Bloom
Oscar_Florianus_Bluemner;https://en.wikipedia.org/wiki/Oscar_Florianus_Bluemner
Albrecht_von_Blumenthal;https://en.wikipedia.org/wiki/Albrecht_von_Blumenthal
Joe_Bodolai;https://en.wikipedia.org/wiki/Joe_Bodolai
Emanuel_Boekman;https://en.wikipedia.org/wiki/Emanuel_Boekman
Phil_Bolger;https://en.wikipedia.org/wiki/Phil_Bolger
Warren_Bolster;https://en.wikipedia.org/wiki/Warren_Bolster
Thomas_Bond_(surgeon);https://en.wikipedia.org/wiki/Thomas_Bond_(surgeon)
Bonosus_(usurper);https://en.wikipedia.org/wiki/Bonosus_(usurper)
Eduardo_Bonvallet;https://en.wikipedia.org/wiki/Eduardo_Bonvallet
Charles_T._Booher;https://en.wikipedia.org/wiki/Charles_T._Booher
Jeremy_Michael_Boorda;https://en.wikipedia.org/wiki/Jeremy_Michael_Boorda
Ricardo_Bordallo;https://en.wikipedia.org/wiki/Ricardo_Bordallo
Víctor_Borja;https://en.wikipedia.org/wiki/Víctor_Borja
Adrian_Borland;https://en.wikipedia.org/wiki/Adrian_Borland
Ernest_Borneman;https://en.wikipedia.org/wiki/Ernest_Borneman
John_Bottomley;https://en.wikipedia.org/wiki/John_Bottomley
Vladimír_Boudník;https://en.wikipedia.org/wiki/Vladimír_Boudník
Anthony_Bourdain;https://en.wikipedia.org/wiki/Anthony_Bourdain
Greg_Boyed;https://en.wikipedia.org/wiki/Greg_Boyed
Bozhidar;https://en.wikipedia.org/wiki/Bozhidar
Fritz_Bracht;https://en.wikipedia.org/wiki/Fritz_Bracht
Brain_Damage_(wrestler);https://en.wikipedia.org/wiki/Brain_Damage_(wrestler)
Frank_B._Brandegee;https://en.wikipedia.org/wiki/Frank_B._Brandegee
Charlie_Brandt;https://en.wikipedia.org/wiki/Charlie_Brandt
Fredric_Brandt;https://en.wikipedia.org/wiki/Fredric_Brandt
Mike_Brant;https://en.wikipedia.org/wiki/Mike_Brant
Richard_Brautigan;https://en.wikipedia.org/wiki/Richard_Brautigan
Frederick_Hazlitt_Brennan;https://en.wikipedia.org/wiki/Frederick_Hazlitt_Brennan
Charles_Joseph,_comte_Bresson;https://en.wikipedia.org/wiki/Charles_Joseph,_comte_Bresson
Fred_Bretonnel;https://en.wikipedia.org/wiki/Fred_Bretonnel
William_Brinkley;https://en.wikipedia.org/wiki/William_Brinkley
Ismaaiyl_Brinsley;https://en.wikipedia.org/wiki/Ismaaiyl_Brinsley
Simon_Brint;https://en.wikipedia.org/wiki/Simon_Brint
Suicide_of_Blake_Brockington;https://en.wikipedia.org/wiki/Suicide_of_Blake_Brockington
Erik_Brødreskift;https://en.wikipedia.org/wiki/Erik_Brødreskift
Vlastimil_Brodský;https://en.wikipedia.org/wiki/Vlastimil_Brodský
Joseph_Brooks_(songwriter);https://en.wikipedia.org/wiki/Joseph_Brooks_(songwriter)
John_Brown_(essayist);https://en.wikipedia.org/wiki/John_Brown_(essayist)
Bob_Brozman;https://en.wikipedia.org/wiki/Bob_Brozman
Nish_Bruce;https://en.wikipedia.org/wiki/Nish_Bruce
Clyde_Bruckman;https://en.wikipedia.org/wiki/Clyde_Bruckman
Jürgen_Brümmer;https://en.wikipedia.org/wiki/Jürgen_Brümmer
Edward_J._Brundage;https://en.wikipedia.org/wiki/Edward_J._Brundage
Marcus_Junius_Brutus;https://en.wikipedia.org/wiki/Marcus_Junius_Brutus
Roy_Buchanan;https://en.wikipedia.org/wiki/Roy_Buchanan
Eustace_Budgell;https://en.wikipedia.org/wiki/Eustace_Budgell
David_A._Burke;https://en.wikipedia.org/wiki/David_A._Burke
Jim_Burke_(cricketer);https://en.wikipedia.org/wiki/Jim_Burke_(cricketer)
Dan_Burros;https://en.wikipedia.org/wiki/Dan_Burros
François_Buzot;https://en.wikipedia.org/wiki/François_Buzot
Samuel_Byck;https://en.wikipedia.org/wiki/Samuel_Byck
David_Bystroň;https://en.wikipedia.org/wiki/David_Bystroň
